Data Dimensions/Time,QIN,CNI,CNI data cleaning
26/03/2021 09:02,460.996,326,CNI outlier
26/03/2021 09:05,457.867,326.79999,CNI outlier
26/03/2021 09:08,456.26099,327,CNI outlier
26/03/2021 09:11,459.315,330.39999,CNI outlier
26/03/2021 09:14,461.388,334.20001,CNI outlier
26/03/2021 09:17,469.74301,307.202,CNI outlier
26/03/2021 09:20,470.53699,322.00201,CNI outlier
26/03/2021 09:23,456.88,341.202,CNI outlier
26/03/2021 09:26,453.379,358.00201,CNI outlier
26/03/2021 09:29,431.51801,417,Rest
26/03/2021 09:32,386.61099,421.20001,Rest
26/03/2021 09:35,350.638,427.79999,Rest
26/03/2021 09:38,379.51599,428.20001,Rest
26/03/2021 09:41,407.026,429.79999,Rest
26/03/2021 09:44,430.76501,429.60001,Rest
26/03/2021 09:47,445.57901,431.60001,Rest
26/03/2021 09:50,411.12601,433.39999,Rest
26/03/2021 09:53,450.86301,433.60001,Rest
26/03/2021 09:56,459.73199,434.20001,Rest
26/03/2021 09:59,459.22299,432.79999,Rest
26/03/2021 10:02,453.88199,432.79999,Rest
26/03/2021 10:05,387.66599,432,Rest
26/03/2021 10:08,432.125,431.20001,Rest
26/03/2021 10:11,448.35199,431.20001,Rest
26/03/2021 10:14,443.65399,430.60001,Rest
26/03/2021 10:17,428.06,432.60001,Rest
26/03/2021 10:20,371.349,434.39999,Rest
26/03/2021 10:23,357.28201,436.60001,Rest
26/03/2021 10:26,358.63599,439.20001,Rest
26/03/2021 10:29,358.16199,443.20001,Rest
26/03/2021 10:32,357.42499,444.79999,Rest
26/03/2021 10:35,352.55399,446.60001,Rest
26/03/2021 10:38,378.57901,447.39999,Rest
26/03/2021 10:41,449.62,448.79999,Rest
26/03/2021 10:44,462.84299,450.60001,Rest
26/03/2021 10:47,473.78201,455.39999,Rest
26/03/2021 10:50,457.189,463.79999,Rest
26/03/2021 10:53,415.48599,478.20001,Rest
26/03/2021 10:56,473.83401,482.20001,Rest
26/03/2021 10:59,510.85699,487.20001,Rest
26/03/2021 11:02,509.92999,482.60001,Rest
26/03/2021 11:05,499.047,466.79999,Rest
26/03/2021 11:08,454.36301,462.39999,Rest
26/03/2021 11:11,502.45801,454.60001,Rest
26/03/2021 11:14,509.47699,456.20001,Rest
26/03/2021 11:17,504.70499,465.20001,Rest
26/03/2021 11:20,485.01901,469.79999,Rest
26/03/2021 11:23,398.64801,477.20001,Rest
26/03/2021 11:26,392.93301,477.60001,Rest
26/03/2021 11:29,465.31299,476,Rest
26/03/2021 11:32,509.298,475.79999,Rest
26/03/2021 11:35,516.09998,478.20001,Rest
26/03/2021 11:38,511.77701,480.79999,Rest
26/03/2021 11:41,431.487,485,Rest
26/03/2021 11:44,384.49301,485.20001,Rest
26/03/2021 11:47,376.30899,490.79999,Rest
26/03/2021 11:50,382.125,508.79999,Rest
26/03/2021 11:53,400.26501,549.59998,Rest
26/03/2021 11:56,404.548,572,Rest
26/03/2021 11:59,436.12,585.59998,Rest
26/03/2021 12:02,491.005,569,Rest
26/03/2021 12:05,503.32901,524.79999,Rest
26/03/2021 12:08,502.52399,496.60001,Rest
26/03/2021 12:11,461.32101,458,Rest
26/03/2021 12:14,394.93301,441.20001,Rest
26/03/2021 12:17,411.879,446.39999,Rest
26/03/2021 12:20,478.452,456.60001,Rest
26/03/2021 12:23,495.50699,472,Rest
26/03/2021 12:26,496.18701,477.20001,Rest
26/03/2021 12:29,436.634,458.79999,Rest
26/03/2021 12:32,349.70401,443.20001,Rest
26/03/2021 12:35,364.78699,422,Rest
26/03/2021 12:38,427.76401,412.79999,Rest
26/03/2021 12:41,494.13199,398.79999,Rest
26/03/2021 12:44,523.72998,390.60001,Rest
26/03/2021 12:47,520.39697,390.20001,Rest
26/03/2021 12:50,483.33801,393.60001,Rest
26/03/2021 12:53,457.96701,399,Rest
26/03/2021 12:56,458.17099,402.79999,Rest
26/03/2021 12:59,405.27899,403.20001,Rest
26/03/2021 13:02,382.37399,398.39999,Rest
26/03/2021 13:05,377.358,394.39999,Rest
26/03/2021 13:08,389.63699,400.39999,Rest
26/03/2021 13:11,429.38699,420.60001,Rest
26/03/2021 13:14,434.112,435.39999,Rest
26/03/2021 13:17,440.78,465.39999,Rest
26/03/2021 13:20,441.534,480.20001,Rest
26/03/2021 13:23,437.806,489,Rest
26/03/2021 13:26,402.34,493.60001,Rest
26/03/2021 13:29,371.42599,488.20001,Rest
26/03/2021 13:32,391.47501,480,Rest
26/03/2021 13:35,423.03699,475.79999,Rest
26/03/2021 13:38,462.51199,475.79999,Rest
26/03/2021 13:41,468.19,467.79999,Rest
26/03/2021 13:44,414.39499,459,Rest
26/03/2021 13:47,382.702,442.60001,Rest
26/03/2021 13:50,402.39401,434.60001,Rest
26/03/2021 13:53,439.48801,432,Rest
26/03/2021 13:56,444.048,436.20001,Rest
26/03/2021 13:59,416.29901,435.79999,Rest
26/03/2021 14:02,390.92499,428.39999,Rest
26/03/2021 14:05,359.78101,417.79999,Rest
26/03/2021 14:08,365.99301,409,Rest
26/03/2021 14:11,384.77899,396.39999,Rest
26/03/2021 14:14,382.08899,391.79999,Rest
26/03/2021 14:17,377.74399,385.20001,Rest
26/03/2021 14:20,425.125,381.20001,Rest
26/03/2021 14:23,439.68399,379.60001,Rest
26/03/2021 14:26,433.39401,377.79999,Rest
26/03/2021 14:29,421.263,376.39999,Rest
26/03/2021 14:32,369.03,375.79999,Rest
26/03/2021 14:35,349.81201,374,Rest
26/03/2021 14:38,350.44901,372.79999,Rest
26/03/2021 14:41,353.50299,369.79999,Rest
26/03/2021 14:44,356.04001,368.39999,Rest
26/03/2021 14:47,358.37201,365.60001,Rest
26/03/2021 14:50,360.84698,365.20001,Rest
26/03/2021 14:53,363.267,366.39999,Rest
26/03/2021 14:56,363.14099,367.39999,Rest
26/03/2021 14:59,362.561,368.79999,Rest
26/03/2021 15:02,364.621,370.79999,Rest
26/03/2021 15:05,368.289,375.20001,Rest
26/03/2021 15:08,365.99301,377.79999,Rest
26/03/2021 15:11,371.495,382.79999,Rest
26/03/2021 15:14,370.11801,385.79999,Rest
26/03/2021 15:17,364.01599,387.60001,Rest
26/03/2021 15:20,390.32199,391.79999,Rest
26/03/2021 15:23,429.444,398,Rest
26/03/2021 15:26,428.13699,400.20001,Rest
26/03/2021 15:29,412.17999,403.39999,Rest
26/03/2021 15:32,395.30301,401.20001,Rest
26/03/2021 15:35,372.77899,396.60001,Rest
26/03/2021 15:38,383.539,394.20001,Rest
26/03/2021 15:41,408.806,391.20001,Rest
26/03/2021 15:44,407.71399,389.79999,Rest
26/03/2021 15:47,395.048,387.20001,Rest
26/03/2021 15:50,390.401,385.79999,Rest
26/03/2021 15:53,390.12201,384.39999,Rest
26/03/2021 15:56,389.884,383.60001,Rest
26/03/2021 15:59,392.19199,384.20001,Rest
26/03/2021 16:02,396.29401,384,Rest
26/03/2021 16:05,391.802,381.39999,Rest
26/03/2021 16:08,391.46899,380,Rest
26/03/2021 16:11,393.23099,379.60001,Rest
26/03/2021 16:14,383.37,379.60001,Rest
26/03/2021 16:17,383.68301,380,Rest
26/03/2021 16:20,382.89401,381.39999,Rest
26/03/2021 16:23,377.505,382.39999,Rest
26/03/2021 16:26,383.65601,384,Rest
26/03/2021 16:29,382.42801,388.60001,Rest
26/03/2021 16:32,377.888,389.79999,Rest
26/03/2021 16:35,373.50101,389.60001,Rest
26/03/2021 16:38,386.78299,388.39999,Rest
26/03/2021 16:41,443.043,384.79999,Rest
26/03/2021 16:44,445.60001,383.39999,Rest
26/03/2021 16:47,443.97299,383.20001,Rest
26/03/2021 16:50,427.577,382.60001,Rest
26/03/2021 16:53,375.92899,383,Rest
26/03/2021 16:56,375.078,383.79999,Rest
26/03/2021 16:59,382.02399,386.60001,Rest
26/03/2021 17:02,384.698,390.79999,Rest
26/03/2021 17:05,377.69,395.20001,Rest
26/03/2021 17:08,378.561,397.39999,Rest
26/03/2021 17:11,375.71899,400.20001,Rest
26/03/2021 17:14,368.71799,400.60001,Rest
26/03/2021 17:17,422.04001,405.39999,Rest
26/03/2021 17:20,432.22699,408.20001,Rest
26/03/2021 17:23,424.94299,409,Rest
26/03/2021 17:26,428.22501,408.79999,Rest
26/03/2021 17:29,386.745,404.60001,Rest
26/03/2021 17:32,411.729,400.79999,Rest
26/03/2021 17:35,417.68399,396,Rest
26/03/2021 17:38,412.49301,392.60001,Rest
26/03/2021 17:41,399.198,386,Rest
26/03/2021 17:44,362.05801,382.20001,Rest
26/03/2021 17:47,359.63101,377.20001,Rest
26/03/2021 17:50,361.32101,374.60001,Rest
26/03/2021 17:53,366.41101,372.60001,Rest
26/03/2021 17:56,371.384,373.20001,Rest
26/03/2021 17:59,375.13901,374,Rest
26/03/2021 18:02,377.11401,374.20001,Rest
26/03/2021 18:05,377.24701,374.60001,Rest
26/03/2021 18:08,374.96201,373.79999,Rest
26/03/2021 18:11,376.71799,371,Rest
26/03/2021 18:14,436.12201,372.39999,Rest
26/03/2021 18:17,466.177,376.20001,Rest
26/03/2021 18:20,465.76999,378.60001,Rest
26/03/2021 18:23,467.72501,384.39999,Rest
26/03/2021 18:26,410.75101,384.39999,Rest
26/03/2021 18:29,425.04501,380.60001,Rest
26/03/2021 18:32,459.612,377.20001,Rest
26/03/2021 18:35,459.55099,372.39999,Rest
26/03/2021 18:38,461.98199,371,Rest
26/03/2021 18:41,414.97101,371,Rest
26/03/2021 18:44,413.40601,369.79999,Rest
26/03/2021 18:47,440.802,366.20001,Rest
26/03/2021 18:50,436.38901,362.20001,Rest
26/03/2021 18:53,440.77499,356.60001,Rest
26/03/2021 18:56,408.397,354.60001,Rest
26/03/2021 18:59,376.40799,352.39999,Rest
26/03/2021 19:02,377.759,352.39999,Rest
26/03/2021 19:05,388.41901,354.39999,Rest
26/03/2021 19:08,440.96701,356.39999,Rest
26/03/2021 19:11,462.66699,360.60001,Rest
26/03/2021 19:14,463.328,363,Rest
26/03/2021 19:17,447.83801,363.60001,Rest
26/03/2021 19:20,392.996,362.60001,Rest
26/03/2021 19:23,377.12701,363,Rest
26/03/2021 19:26,376.18701,364.20001,Rest
26/03/2021 19:29,377.733,366.79999,Rest
26/03/2021 19:32,380.98099,371.39999,Rest
